法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
ゴーイングリンクジャパン株式会社,'7010001236107,株式会社,,ゴーイングリンクジャパン株式会社は、サプライチェーン関連のＳａａＳサービスを提供し、自社製品の販売・構築・運用保守を行う法人です。,東京都中央区京橋1-2-5京橋TDビル7階,104-0031,東京都,中央区,京橋1-2-5京橋TDビル7階,東京都中央区京橋１丁目２番５号京橋ＴＤビル７階,,東京都,中央区,京橋１丁目２番５号京橋ＴＤビル７階,https://jp.going-link.com/,,03-6225-2985,03-6225-2986,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2023/6,,500以上～1千未満,,,5千万以上～1億未満,,,1,,1,中国,,,,-,-,-,-,-,,,N/A
株式会社ニューメディア徳島,'2480001001823,株式会社,,株式会社ニューメディア徳島は、ＩＳＰ事業やソフトウェア開発、ＩｏＴシステム開発、サーバ／ネットワーク構築など幅広い事業領域に携わるＩＴ法人です。,,,,,,徳島県徳島市万代町３丁目５番地４,7700941,徳島県,徳島市,万代町３丁目５番地４,https://www.nmt.co.jp/,,088-655-5552,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/通信業/固定電気通信業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,通信業,非上場,中小企業,1989/2,"15,000,000",5以上～10未満,近藤 紳一郎（代表取締役）,近藤 紳一郎（代表取締役）,1億以上～5億未満,,,,,,,1,,,-,-,-,-,-,,2,N/A
株式会社ＮＳＧ,'8010001199674,株式会社,,株式会社ＮＳＧは、業務改善・ＤＸ支援に特化したＩＴ開発会社で、システム設計やアプリ受託開発、運用までをワンストップで提供し、中小から大手企業の課題解決をサポートしています。,,,,,,東京都中央区日本橋蛎殻町１丁目８－２ヴェラハイツ日本橋蛎殻町３０４,1030014,東京都,中央区,日本橋蛎殻町１丁目８－２ヴェラハイツ日本橋蛎殻町３０４,https://nsg-t.co.jp/,,03-6320-1285,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2019/2,,～5未満,手嶋誠（代表取締役社長）,手嶋誠（代表取締役社長）/手嶋慎次（取締役）,1億以上～5億未満,,,,,,,,,Gstatic/Google マップ/Google Cloud Storage,-,-,-,-,-,,,N/A
株式会社ロイオズ,'5011101070645,株式会社,,株式会社ロイオズは、法律事務所向けのクラウド型業務管理システム「ｌｏｉｏｚ」を提供し、業務効率化を支援する法律テクノロジー法人です。,,,,,,東京都渋谷区渋谷１丁目３番９号,1500002,東京都,渋谷区,渋谷１丁目３番９号,https://www.loioz.co.jp/,loioz-support@loioz.co.jp,03-6892-8674,,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,情報通信業,情報サービス業,非上場,中小企業,2014/7,"29,600,000",5以上～10未満,増田 祐太（代表）,増田 祐太（代表）,1億以上～5億未満,,,,,,,,,Google Hosted Libraries/Googleタグマネージャー/jsDelivr/CloudFlare,◯,◯,-,-,-,,1,N/A
株式会社アイビス・ラボ,'3490001009567,株式会社,,株式会社アイビス・ラボは、ＩＴソリューションを提供する法人であり、主にクラウドを利用したＳａａＳ系サービスの展開やコンピュータ関連の製品販売を行っています。,高知県南国市蛍が丘2丁目2-1南国オフィスパーク,783-0060,高知県,南国市,蛍が丘2丁目2-1南国オフィスパーク,高知県南国市蛍が丘２丁目２番地１,7830060,高知県,南国市,蛍が丘２丁目２番地１,https://ibsnet.co.jp/,,088-862-3688,088-862-2181,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2020/5/1,"5,000,000",50以上～100未満,武田 恵（代表取締役社長）,武田 恵（代表取締役社長）/吉田 道寛（取締役 専務執行役員）/石本 博昭（取締役 常務執行役員）/松井 優樹（取締役 常務執行役員）/酒井 雅康（執行役員）,5億以上～10億未満,,11月,,,,,2,5,Googleタグマネージャー/reCAPTCHA/Google マップ,◯,-,-,-,-,,,N/A
株式会社バイタリフィ,'7011001050027,株式会社,,株式会社バイタリフィは、ベトナムでのオフショア開発とスマートフォンアプリ開発を主な事業としており、デジタルゼネラリストとして幅広い開発技術やソリューションを提供しています。,東京都渋谷区恵比寿西1-9-6アストゥルビル8F,150-0021,東京都,渋谷区,恵比寿西1-9-6アストゥルビル8F,東京都渋谷区恵比寿西１丁目９－６アストゥルビル８Ｆ,1500021,東京都,渋谷区,恵比寿西１丁目９－６アストゥルビル８Ｆ,https://vitalify.jp/,info@vitalify.jp,03-5428-6346,03-3461-6347,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,2005/9/21,"80,000,000",30以上～50未満,板羽 晃司（代表取締役）,板羽 晃司（代表取締役）/伊藤 康平（取締役）/中里 隆史（取締役）,5億以上～10億未満,,,2,,1,,3,39,Facebook SDK/Kairos3 Marketing/BowNow/Google アナリティクス/Google Hosted Libraries/Google マップ/Clarity/Gravatar/Googleタグマネージャー/Gstatic,◯,-,-,-,-,リリース情報掲載あり(1週間以内)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),2,N/A
株式会社ＤＥＣＯＨ,'7120001216337,株式会社,,株式会社ＤＥＣＯＨは、関西圏で楽天モバイルショップを運営し、スマートフォンアクセサリーの販売やＤＸ支援、ｋｉｎｔｏｎｅアプリ開発支援を通じて、顧客に最高の価値を提供する法人です。,大阪府大阪市中央区南船場4丁目11番17号,542-0081,大阪府,大阪市中央区,南船場4丁目11番17号,大阪府大阪市中央区南船場４丁目１１番１７号,5420081,大阪府,大阪市中央区,南船場４丁目１１番１７号,https://decoh.jp/,,06-6606-9355,06-6533-1706,"卸売業，小売業/無店舗小売業/通信販売・訪問販売小売業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",卸売業，小売業,無店舗小売業,情報通信業,インターネット附随サービス業,,,非上場,中小企業,2018/10/1,"9,000,000",30以上～50未満,小山卓海（代表取締役）,小山卓海（代表取締役）,5億以上～10億未満,,,10,,,,,,jsDelivr/Googleタグマネージャー/YubinBango/Gstatic/CloudFlare/jQuery CDN,-,-,-,-,-,,,N/A
株式会社ｆｏｎｆｕｎ,'6011301016389,株式会社,,株式会社ｆｏｎｆｕｎは、ソフトウェア開発を基盤とし、デジタルトランスフォーメーション（ＤＸ）やクラウドソリューションを通じて企業の業務効率化を支援する東京証券取引所スタンダード市場上場の法人です。,東京都渋谷区笹塚2-1-6JMFビル笹塚016階,151-0073,東京都,渋谷区,笹塚2-1-6JMFビル笹塚016階,東京都渋谷区笹塚２丁目１番６号,1510073,東京都,渋谷区,笹塚２丁目１番６号,https://www.fonfun.co.jp/,,03-5365-1511,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,東証スタンダード,大手,1997/3/3,"10,000,000",100以上～300未満,水口 翼（代表取締役社長）,松井 都（取締役DXソリューション本部長）/八田 修三（取締役コーポレートソリューション本部長）/緒方 健介（取締役(注)1）/小栁 肇（取締役（注)１）/古久保 武紀（取締役(注)１）/鎌形 尚（常勤監査役）/高森 厚太郎（監査役(注)２）/蓮尾 倫弘（監査役(注)２）,10億以上～20億未満,"169,348,000",3月,,,,,7,3,Googleタグマネージャー/Typekit/CloudFlare/Google アナリティクス/Google マップ/BowNow/Gstatic,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),8,N/A
株式会社ＥｘＳｋｙ,'2010701046479,株式会社,,株式会社ＥｘＳｋｙは、クラウドとＡＩを核に企業の業務変革を加速するソリューションを提供し、中堅から大企業のデジタル化をトータルに支援するＩＴ法人です。,東京都〇〇区〇〇0-0-0EXSKYビル5F,,東京都,,〇〇区〇〇0-0-0EXSKYビル5F,東京都品川区東大井１丁目２番１３号プライムネクサス品川鮫洲３０１,1400011,東京都,品川区,東大井１丁目２番１３号プライムネクサス品川鮫洲３０１,https://takayasora.com/,info@example.com,03-0000-0000,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,不明,,,,,,,,,1,大阪府,,,,,,-,-,-,-,-,,,N/A
株式会社エヌ・ゲート,'3290001028777,株式会社,,株式会社エヌ・ゲートは、障害福祉サービス向けの業務支援システムの提供やソフトウェア開発、ＩＴコンサルティング、インフラ整備を行い、社会問題解決に向けた取り組みも行っている福岡市の法人です。,福岡市博多区博多駅前1丁目23番2号PARKFRONT博多駅前１丁目ビル7階,812-0011,福岡県,福岡市博多区,博多駅前1丁目23番2号PARKFRONT博多駅前１丁目ビル7階,福岡県福岡市博多区博多駅前１丁目２３番２号,812-0011,福岡県,福岡市博多区,博多駅前１丁目２３番２号,https://www.ngate.co.jp/,,092-452-1028,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2007/3/5,,5以上～10未満,,,1億以上～5億未満,,,,,,,,2,Bootstrap/Google Hosted Libraries/Google マップ,-,-,-,-,-,中途採用掲載あり(2025/2026年),,N/A
ＡＤＤＤＥＳＩＧＮ株式会社,'7010001215044,株式会社,,ＡＤＤＤＥＳＩＧＮ株式会社は、東京都中央区に本社を置く独立系のＷｅｂ制作会社で、Ｗｅｂサイトの企画・制作・運営やＷｅｂシステムの受託開発、ＳａａＳ事業を展開し、特に格安ホームページ制作サービスに注力しています。,東京都中央区日本橋室町1-11-12日本橋水野ビル７階,103-0022,東京都,中央区,日本橋室町1-11-12日本橋水野ビル７階,東京都中央区日本橋室町１丁目１１番１２号日本橋水野ビル７階,1030022,東京都,中央区,日本橋室町１丁目１１番１２号日本橋水野ビル７階,https://www.adddesign.jp/,,050-6875-0226,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/広告業/広告業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,広告業,情報通信業,情報サービス業,非上場,小規模企業,2021/1,"1,000,000",～5未満,小石沢 正雄（代表取締役）,小石沢 正雄（代表取締役）,5千万以上～1億未満,,,,,,,,,Gstatic/Google Hosted Libraries/unpkg/Google マップ,-,-,-,-,-,案件情報掲載あり(2025/2026年),1,N/A
